ITEM,Model ID,Marketing Model Name,Marketing Description,Description,MODEL YEAR STATUS,Rider Solution,Short Intro Copy,Feature-Benefit #1,Feature-Benefit #2,Feature-Benefit #3,Feature-Benefit #4,Feature-Benefit #5,Feature-Benefit #6,E-BIKE Recommended,Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8,Attribute 9,Attribute 10,Attribute 11,Attribute 12,Photo1,Photo2,Photo3,Photo4
BB2UNA-101,BB2-CTX-P01,Plus Bottom Brackets for 30mm Spindle Cranks,"BSA Threaded Bottom Bracket for 68mm Shell - fits 30mm Spindle Cranks, Black",BSA Threaded | Bottom Bracket | 68mm Shell | Fits 30mm Spindle Cranks,CONTINUED,,"e*thirteen bottom brackets use ABEC 3 bearings and double lip seals in all e*thirteen bottom brackets enhance durability and reduce friction. All Bottom Brackets include our 1 year, no questions asked guarantee and are compatible with any cranks with 30mm spindles.","Custom bearings with ABEC 3 and double lip seals offer exceptional protection from the elements, durability, and less friction","PF30/BB30: Thread-together system eliminates creaks.

BB92: Industry-exclusive dual-row bearings maximize durability.",Fit 30mm spindle cranks,,,,F,BSA Threaded,,68mm,30mm,e*thirteen BB/Lockring Tool (not incl.),,,Alloy,93g,"Bottom Bracket, bottom bracket spacers, sticker, and User Manual",Black,"5 years, 1 year on bearings",https://drive.google.com/open?id=13SwSPaf20J3aqbyu56db379h4zZ9uCIn&usp=drive_copy,,https://drive.google.com/open?id=1VxGzYFDZJ6jnqbAMM8MM-41Mm1tuNpSy&usp=drive_copy,https://drive.google.com/open?id=13nC98gMDRHjTo--NH6nFiqunsxLX-FPL&usp=drive_copy
CG3UPA-100,CG3-ESP-P01,e*spec Plus Bosch CX Chainguide,"e*spec Plus Chainguide for Bosch CX Gen4, Black",e*spec Plus | Chainguide | Bosch CX Gen4 | 2-Bolt Nylon Backplate | 34-38T | ISO Compact Slider | Black,CONTINUED,,"e*spec Plus Bosch CX Gen 4 Chainguides are designed specifically for use with eBikes. An ISO-conforming upper slider keeps your chain on and your clothing out of your drivetrain, and a carbon-injected backplate delivers ultimate strength in a lightweight package. At just 42g in weight, they're a great way to upgrade the performance of your eMTB, without adding unwanted weight.","Adjustable, ISO-conforming upper slider",Lightweight glass-composite backplate,Includes ISCG mounting hardware and chainline spacers,"Non-Boost, Boost, SuperBoost adaptibility","Compatible with 
34-38t chainrings",,T,Bosch CX Gen4 2-Bolt,ISO Compact,No,No Bash,"non-Boost, Boost, SuperBoost",34-38T,,Nylon Composite,42g,"ISCG bolt x2, 2x4.5mm and 2x1mm chainline spacers , User manual",Black,5 Years,https://drive.google.com/open?id=1oxhL3OTYFYMCfRG6u34UqMYQBXDmHdfB&usp=drive_copy,,,
CG3UPA-101,CG3-ESP-P02,e*spec Plus Shimano EP8/8000/7000 Chainguide,"e*spec Plus Chainguide for Shimano EP8/8000/7000, Black",e*spec Plus | Chainguide | Shimano EP8 and E8000 | 2-Bolt Nylon Backplate | 34-38T | ISO Compact Slider | Black,CONTINUED,,"e*spec Plus Shimano Chainguides are designed specifically for use with Shimano EP8/E8000/E7000 eBikes. An ISO-conforming upper slider keeps your chain on and your clothing out of your drivetrain, and a carbon-injected backplate delivers ultimate strength in a lightweight package. At just 46g in weight, they are a great way to upgrade the performance of your eMTB, without adding unwanted weight.","Adjustable, ISO-conforming upper slider",Lightweight glass-composite backplate,Includes ISCG mounting hardware,"Compatible with 
34-38t chainrings",,,T,Shimano EP8/8000 2-bolt,ISO Compact,No,No Bash,"non-Boost, Boost, SuperBoost",34-38T,,Nylon Composite,46g,"ISCG bolt x2, user manual",Black,5 Years,https://drive.google.com/open?id=1Nk1VSlGQTvYWzHS3e6Fxe9Z9DYfZSV-M&usp=drive_copy,,,
CG3VPA-100,CG3-VAR-P02,Vario Chainguide,"Vario Chainguide - DH Full Coverage, Black",Vario | Chainguide | DH | I05 | 28-36T | Full Coverage Slider with DMB | Black,CONTINUED,You have a choice. Future-proof your bike with the modular Vario Chainguide you can easily swap from a full coverage DH guide to a lightweight ultra-compact trail guide.,"With nearly two decades of making the world’s winningest chainguide, e*thirteen guides are trusted by the world’s top riders. Constantly searching for ways to improve the rider experience, we designed the Vario Chainguide with user preference and choice in mind, allowing riders to customize the guide according to their needs.","Adjustable Upper Slider: The Vario compact slider offers lateral infinite adjustments to cater to different chainlines, using a simple single bolt mechanism.",Versatility in Mounting: The armature can be fixed either inside or outside of the guide backplate to better suit various bike setups.,"Choice in Coverage: Riders have the option of choosing between a longer, full-coverage slider and a shorter, ultra-compact slider.",Bashguards: Both the Enduro and DH guides come with a selection of bashguards for 28-32 or 34-36 tooth chainring sizes.,"Optional Lower Idler: For those who prefer, the DH guides can be used with or without the super quiet, low-friction Steath lower idler for maximum chain retention.",,F,ISCG05,Full Coverage Compact,Stealth Idler on Adjustable Slider,Direct Mount Bash,"Boost, SuperBoost",28-36T,,Alloy,181g,,Black,5 Years,https://drive.google.com/open?id=1KZHTS1SM8HORaB4-_o5P09SQuKFgRj5g&usp=drive_copy,https://drive.google.com/open?id=1oYOF40Yx1wr19Occ6RdAbHOQ1mdRADUH&usp=drive_copy,,https://drive.google.com/open?id=1fLn-KX1Ye0EtAEbljcNyQMI59xNQzhYA&usp=drive_copy
CG3VPA-101,CG3-VAR-P02,Vario Chainguide,"Vario Chainguide - Enduro, Black",Vario | Chainguide | Enduro | I05 | 28-36T | Compact Slider with DMB | Black,CONTINUED,You have a choice. Future-proof your bike with the modular Vario Chainguide you can easily swap from a full coverage DH guide to a lightweight ultra-compact trail guide.,"With nearly two decades of making the world’s winningest chainguide, e*thirteen guides are trusted by the world’s top riders. Constantly searching for ways to improve the rider experience, we designed the Vario Chainguide with user preference and choice in mind, allowing riders to customize the guide according to their needs.","Adjustable Upper Slider: The Vario compact slider offers lateral infinite adjustments to cater to different chainlines, using a simple single bolt mechanism.",Versatility in Mounting: The armature can be fixed either inside or outside of the guide backplate to better suit various bike setups.,"Choice in Coverage: Riders have the option of choosing between a longer, full-coverage slider and a shorter, ultra-compact slider.",Bashguards: Both the Enduro and DH guides come with a selection of bashguards for 28-32 or 34-36 tooth chainring sizes.,"Optional Lower Idler: For those who prefer, the DH guides can be used with or without the super quiet, low-friction Steath lower idler for maximum chain retention.",,F,ISCG05,Compact,No,Direct Mount Bash,"Boost, SuperBoost",28-36T,,Alloy,138g,,Black,5 Years,https://drive.google.com/open?id=1v47WZzf7--9YV25kXFH9caegavWKTEvC&usp=drive_copy,https://drive.google.com/open?id=1SNttpFQzAJGn0YvH1uDUJSN7QeEsR1hX&usp=drive_copy,,https://drive.google.com/open?id=1ihVga0UoJBve86YDCrqmL0HrwumFNY5c&usp=drive_copy
CG3VPA-102,CG3-VAR-P02,Vario Chainguide,"Vario Chainguide - Trail, Black",Vario | Chainguide | Trail | I05 2 Bolt | 28-36T | Compact Slider | Black,CONTINUED,You have a choice. Future-proof your bike with the modular Vario Chainguide you can easily swap from a full coverage DH guide to a lightweight ultra-compact trail guide.,"With nearly two decades of making the world’s winningest chainguide, e*thirteen guides are trusted by the world’s top riders. Constantly searching for ways to improve the rider experience, we designed the Vario Chainguide with user preference and choice in mind, allowing riders to customize the guide according to their needs.","Adjustable Upper Slider: The Vario compact slider offers lateral infinite adjustments to cater to different chainlines, using a simple single bolt mechanism.",Versatility in Mounting: The armature can be fixed either inside or outside of the guide backplate to better suit various bike setups.,"Choice in Coverage: Riders have the option of choosing between a longer, full-coverage slider and a shorter, ultra-compact slider.",Bashguards: Both the Enduro and DH guides come with a selection of bashguards for 28-32 or 34-36 tooth chainring sizes.,"Optional Lower Idler: For those who prefer, the DH guides can be used with or without the super quiet, low-friction Steath lower idler for maximum chain retention.",,F,ISCG05 2-Bolt,Compact,No,No Bash,"Boost, SuperBoost",28-36T,,Alloy,67g,,Black,5 Years,https://drive.google.com/open?id=1ZNuNZklMQF5pQXhd-LpAJw5kr9yJ1VAC&usp=drive_copy,https://drive.google.com/open?id=1Qg6kbU8cww35SorPny1GAmxIkBeFNeWD&usp=drive_copy,,https://drive.google.com/open?id=10ECw8HL9TFuFEbN2HESaCL0do0y9mH5W&usp=drive_copy
CG3VPA-103,CG3-VAR-P02,Vario Chainguide,"Vario Chainguide - DH Bashguard with Lower Idler, Black",Vario | Chainguide | DH | I05 Bash Mount | 28-36T | DMB with Lower Roller | Black,CONTINUED,You have a choice. Future-proof your bike with the modular Vario Chainguide you can easily swap from a full coverage DH guide to a lightweight ultra-compact trail guide.,"With nearly two decades of making the world’s winningest chainguide, e*thirteen guides are trusted by the world’s top riders. Constantly searching for ways to improve the rider experience, we designed the Vario Chainguide with user preference and choice in mind, allowing riders to customize the guide according to their needs.","Adjustable Upper Slider: The Vario compact slider offers lateral infinite adjustments to cater to different chainlines, using a simple single bolt mechanism.",Versatility in Mounting: The armature can be fixed either inside or outside of the guide backplate to better suit various bike setups.,"Choice in Coverage: Riders have the option of choosing between a longer, full-coverage slider and a shorter, ultra-compact slider.",Bashguards: Both the Enduro and DH guides come with a selection of bashguards for 28-32 or 34-36 tooth chainring sizes.,"Optional Lower Idler: For those who prefer, the DH guides can be used with or without the super quiet, low-friction Steath lower idler for maximum chain retention.",,F,ISCG05 2-Bolt,No,Stealth Idler on Adjustable Slider,Direct Mount Bash,"Boost, SuperBoost",28-36T,,Alloy,120g,,Black,5 Years,https://drive.google.com/open?id=1n-h-HrQ6bR29U2WMKAK6a6-KK9eQy4By&usp=drive_copy,https://drive.google.com/open?id=1wCQxGUAHDoiv_VoZHi1WId7I7NAcmFvs&usp=drive_copy,https://drive.google.com/open?id=1vkt7Cttn1f0CGnFda4Pu1N6XZ6jXaxQR&usp=drive_copy,https://drive.google.com/open?id=1rSifhrfpVtX-N_eLF4T2_c-8AqUkAoi1&usp=drive_copy
CR3UNA-101,CR3-SLR-P01,SL Direct Mount Chainring,"SL Direct Mount Chainring for e*thirteen Cranks - 30T, Black",SL | Chainring | Direct Mount | 30T | 8mm Offset | Shimano/SRAM 10/11/12s Chain Compatible | Black,CONTINUED,"Lightweight, narrow-wide, cross-compatible chainring solutions for legacy e*thirteen cranks.","SL Guiderings provide a lightweight, performance chain retention solution for TRS, LG1 and legacy e*thirteen cranks. Featuring e*thirteen's M3 narrow-wide tooth profile, for high chain retention and compatibility with SRAM and Shimano 10, 11, and 12-speed chains and drivetrains.",-8mm offset for Boost and non-Boost chainlines on adjustable chainline cranks and non-Boost on XCX and legacy LG1/TRS cranks (pre-2019),"M3 narrow-wide tooth profile compatible with SRAM and Shimano 10, 11 and 12-speed chains (Not compatible with T-Type)","Durable AL-7075-T6 construction provides long wear-life, stiffness, and strength",e*thirteen QuickConnect™ mount,Not compatible with Helix cranks,,F,30T,e*thirteen Direct Mount,,8mm Offset Standard,10/11/12s,M3 narrow-wide,Shimano/SRAM 10/11/12s,AL 7075-T6,57g,,Black,5 Years,https://drive.google.com/open?id=1EgK-Kmv6Wu-9gtB0wAc4k-eIqplsT3lG&usp=drive_copy,,https://drive.google.com/open?id=155x_v0tIREhPcVuBYQLHFADNOLzQz_ds&usp=drive_copy,https://drive.google.com/open?id=1OILhjMD6jwnY9qatI6IWdsz9LLhQWfdj&usp=drive_copy
CR3UNA-102,CR3-SLR-P01,SL Direct Mount Chainring,"SL Direct Mount Chainring for e*thirteen Cranks - 32T, Black",SL | Chainring | Direct Mount | 32T | 8mm Offset | Shimano/SRAM 10/11/12s Chain Compatible | Black,CONTINUED,"Lightweight, narrow-wide, cross-compatible chainring solutions for legacy e*thirteen cranks.","SL Guiderings provide a lightweight, performance chain retention solution for TRS, LG1 and legacy e*thirteen cranks. Featuring e*thirteen's M3 narrow-wide tooth profile, for high chain retention and compatibility with SRAM and Shimano 10, 11, and 12-speed chains and drivetrains.",-8mm offset for Boost and non-Boost chainlines on adjustable chainline cranks and non-Boost on XCX and legacy LG1/TRS cranks (pre-2019),"M3 narrow-wide tooth profile compatible with SRAM and Shimano 10, 11 and 12-speed chains (Not compatible with T-Type)","Durable AL-7075-T6 construction provides long wear-life, stiffness, and strength",e*thirteen QuickConnect™ mount,Not compatible with Helix cranks,,F,32T,e*thirteen Direct Mount,,8mm Offset Standard,10/11/12s,M3 narrow-wide,Shimano/SRAM 10/11/12s,AL 7075-T6,71g,,Black,5 Years,https://drive.google.com/open?id=1-eNnKmGXKXZ70KEmnPrc2IUWk447JupS&usp=drive_copy,,https://drive.google.com/open?id=155x_v0tIREhPcVuBYQLHFADNOLzQz_ds&usp=drive_copy,https://drive.google.com/open?id=1OILhjMD6jwnY9qatI6IWdsz9LLhQWfdj&usp=drive_copy
CR3UNA-103,CR3-SLR-P01,SL Direct Mount Chainring,"SL Direct Mount Chainring for e*thirteen Cranks - 34T, Black",SL | Chainring | Direct Mount | 34T | 8mm Offset | Shimano/SRAM 10/11/12s Chain Compatible | Black,CONTINUED,"Lightweight, narrow-wide, cross-compatible chainring solutions for legacy e*thirteen cranks.","SL Guiderings provide a lightweight, performance chain retention solution for TRS, LG1 and legacy e*thirteen cranks. Featuring e*thirteen's M3 narrow-wide tooth profile, for high chain retention and compatibility with SRAM and Shimano 10, 11, and 12-speed chains and drivetrains.",-8mm offset for Boost and non-Boost chainlines on adjustable chainline cranks and non-Boost on XCX and legacy LG1/TRS cranks (pre-2019),"M3 narrow-wide tooth profile compatible with SRAM and Shimano 10, 11 and 12-speed chains (Not compatible with T-Type)","Durable AL-7075-T6 construction provides long wear-life, stiffness, and strength",e*thirteen QuickConnect™ mount,Not compatible with Helix cranks,,F,34T,e*thirteen Direct Mount,,8mm Offset Standard,10/11/12s,M3 narrow-wide,Shimano/SRAM 10/11/12s,AL 7075-T6,76g,,Black,5 Years,https://drive.google.com/open?id=1kVkWs0E9X0Lo79sjQqAcNL8WVPbIIQwx&usp=drive_copy,,https://drive.google.com/open?id=155x_v0tIREhPcVuBYQLHFADNOLzQz_ds&usp=drive_copy,https://drive.google.com/open?id=1OILhjMD6jwnY9qatI6IWdsz9LLhQWfdj&usp=drive_copy
